,Oil,EQNR,DNB,NHY,NOKUSD
2016-06-03,-1.1523085996318179,-1.3095304384261655,-1.3363250951974226,-1.20140342142755,1.0215293554944458
2016-06-06,-1.1006791619274237,-1.2802670874359228,-1.3344028517712654,-1.1819766464018107,1.219883688199446
2016-06-07,-1.050184463301399,-1.262076397118271,-1.3247913753071558,-1.1878046887114806,1.2277394281291703
2016-06-08,-0.9894773293993976,-1.2446770412787826,-1.3286360566594628,-1.1810052733437053,1.291529864033795
2016-06-09,-1.0212491578763483,-1.2597041288425748,-1.3401697765497298,-1.212088525066709,1.333324880876358
2016-06-10,-1.1012464232519337,-1.270776279174344,-1.3632372163302637,-1.2230970929936327,1.2496878498272987
2016-06-13,-1.11202633628177,-1.2802670874359228,-1.3863047209441284,-1.2347532756324537,1.0961043809394866
2016-06-14,-1.1415286866019816,-1.298457879821739,-1.393993824315419,-1.2418766453853993,1.0936350611094785
2016-06-15,-1.1903213848251264,-1.298457879821739,-1.389188053666699,-1.2383148134797048,0.9971586113302426
2016-06-16,-1.291310998506525,-1.3213940253042624,-1.4185031573738962,-1.2635701209125199,1.0515202010957014
2016-06-17,-1.1789744269001294,-1.2794763653667456,-1.3738097172574557,-1.235077131998143,0.9811246773349168
2016-06-20,-1.0950054665355757,-1.254958979882196,-1.3459366364948633,-1.214678787875336,1.0795756691405272
2016-06-21,-1.0967076833678047,-1.270776279174344,-1.342091955142556,-1.2240685640712192,1.0912016420435864
2016-06-22,-1.1386919471207322,-1.2494225985118186,-1.3344028517712654,-1.2143549315096467,1.0523328638470522
2016-06-23,-1.08025429137547,-1.2351861309490393,-1.3238302211774118,-1.220830588531214,1.1390802065508796
2016-06-24,-1.2220934297314265,-1.254958979882196,-1.3843825423513019,-1.2535328280242204,1.1619117870462594
2016-06-27,-1.2930129989094046,-1.2802670874359228,-1.4213864900964668,-1.3050144238700312,0.7714596457099115
2016-06-28,-1.2124482557799598,-1.2644491757347889,-1.4127362325954318,-1.2881777156139564,0.7328193269213875
2016-06-29,-1.097274944692315,-1.2272768688939792,-1.3987995301308085,-1.2690745028954629,0.8489387166013456
2016-06-30,-1.1500391214750787,-1.2114592633973384,-1.395435458260039,-1.268750842568736,0.9558675106676339
2016-07-01,-1.1409614252774714,-1.1964322779017107,-1.3853436316477152,-1.2276301019184703,0.9945959495135333
2016-07-04,-1.1409614252774714,-1.1877322937774735,-1.3978383111677337,-1.229248991668992,1.0175287048896033
2016-07-05,-1.2476245179213685,-1.2043409275477845,-1.4276338946898068,-1.2577418825638877,1.0685861188740677
2016-07-06,-1.199966558776593,-1.2272768688939792,-1.4406093781913551,-1.2749024471856516,0.9210914195803119
2016-07-07,-1.3361320017407017,-1.177450661378553,-1.4088915512431248,-1.258713353641474,0.8933388234363911
2016-07-08,-1.3157073476180974,-1.1956414537643691,-1.395435458260039,-1.2502949505036962,0.8134968295249653
2016-07-11,-1.3446424366137988,-1.1806145703369055,-1.3728487576277042,-1.2082030328342876,0.7784178665367383
2016-07-12,-1.2186892124963178,-1.17270541035001,-1.4468568476180261,-1.1903948535006263,0.809617588776951
2016-07-13,-1.3440751752892888,-1.170332631733492,-1.45694867423035,-1.1670824882229844,0.8860770779674936
2016-07-14,-1.281098563230548,-1.17270541035001,-1.4482986112293077,-1.1677301029348817,0.9072271972199178
2016-07-15,-1.2674819107194626,-1.1663781027741265,-1.4482986112293077,-1.1674063445886735,0.9616175075966692
2016-07-18,-1.304360173263751,-1.185359923433613,-1.4545460158226478,-1.1615780082205602,0.8509785327442944
2016-07-19,-1.321380826580596,-1.185359923433613,-1.4482986112293077,-1.1696727510316114,0.8925255079438746
2016-07-20,-1.2924457375848946,-1.1885230158466509,-1.4343619087646844,-1.173882099629722,0.8018904388568783
2016-07-21,-1.3474791760950482,-1.1711237620753268,-1.432439665338527,-1.1042682720455985,0.8144315548743101
2016-07-22,-1.376414481520099,-1.205132262025948,-1.439648224061611,-1.1201339013020113,0.8389589569182917
2016-07-25,-1.4314479200302523,-1.2343954088798619,-1.4468568476180261,-1.1243430538611596,0.7490712764660716
2016-07-26,-1.4229377015865046,-1.221741202000752,-1.4473375219328943,-1.1032969970069744,0.7120974058736911
2016-07-27,-1.5023674892082306,-1.2391404557720762,-1.4329202748200645,-1.0981163733702393,0.7250399577080552
2016-07-28,-1.546053969793387,-1.2794763653667456,-1.4593517216380372,-1.0812796651141645,0.7769237420083512
2016-07-29,-1.5596706223044727,-1.3008302501655995,-1.4579098931934247,-1.0838701239617539,0.7481254545169093
2016-08-01,-1.5602378836289827,-1.307158068082305,-1.4655990613980463,-1.0900217285786695,0.8855477048820756
2016-08-02,-1.5971161461732712,-1.3190209404832514,-1.4694437427503535,-1.099411602794034,0.8176593599389121
2016-08-03,-1.5233598375140438,-1.3126939391118608,-1.468001979139072,-1.1088012809704362,0.8951867336766113
2016-08-04,-1.455844269141825,-1.2929214984513613,-1.4535847968595728,-1.0977928110629935,0.8686998026530675
2016-08-05,-1.4569790082201943,-1.285012134328137,-1.4434927757472564,-1.0816034234603726,0.9115019991143727
2016-08-08,-1.3934351348369438,-1.2771032805457345,-1.4343619087646844,-1.045015691734945,0.8006685073946063
2016-08-09,-1.4166967448701466,-1.2691946308996607,-1.423308733522624,-1.0346548365393995,0.8524576442258693
2016-08-10,-1.4694609216529104,-1.2802124809679984,-1.4204254008000534,-1.0459872608320124,0.9275718338738144
2016-08-11,-1.3565568722926553,-1.2810141243307607,-1.4237892781708306,-1.0641191985118819,1.112312596826066
2016-08-12,-1.3037926955098915,-1.2802124809679984,-1.4247504323005746,-1.0689758677634464,1.1407584040880066
2016-08-15,-1.225497646966535,-1.2770062137214429,-1.4156195653180024,-1.073185118342076,1.1775671311654539
2016-08-16,-1.1755702096650207,-1.266585564482685,-1.4237892781708306,-1.0650905715699872,1.1667094346144748
2016-08-17,-1.1403941639529613,-1.2930381623632072,-1.4425316864508433,-1.087431759828486,1.2001591556530058
2016-08-18,-1.0813890304538396,-1.2754030290640828,-1.4420511418026367,-1.074156295361219,1.1936983235944756
2016-08-19,-1.0819562917783496,-1.2729982010439607,-1.4415705971544301,-1.065737892223441,1.2508745332666207
2016-08-22,-1.1795416882246395,-1.2922360086596232,-1.4300367475975015,-1.087755518174694,1.1361252472935583
2016-08-23,-1.1341532072366032,-1.294641347020567,-1.4084109417615873,-1.0828985548646861,1.1802975474617594
2016-08-24,-1.1857826449409974,-1.288228302186634,-1.4069692429836367,-1.067680834378614,1.17554036984582
2016-08-25,-1.150606599228938,-1.2930381623632072,-1.4122556231138945,-1.081927377845543,1.1709411555919906
2016-08-26,-1.1364226853933423,-1.2874270670965293,-1.4074499821318358,-1.0728611639569055,1.163259044812354
2016-08-29,-1.1738682092621409,-1.2874270670965293,-1.4141778665400517,-1.0725373075912163,1.0818354590563315
2016-08-30,-1.2243629078881655,-1.2770062137214429,-1.3906297524446496,-1.0777180292474324,1.0992303583822327
2016-08-31,-1.2998212169502728,-1.294641347020567,-1.376693049980026,-1.1036208533726635,1.0110619981605813
2016-09-01,-1.2992539556257627,-1.317085830155443,-1.3786156175728377,-1.1091252353556065,1.0182858846418659
2016-09-02,-1.3117356526291293,-1.2930381623632072,-1.3738097172574557,-1.1026492842755957,1.0253687790313497
2016-09-05,-1.3117356526291293,-1.2689901883664785,-1.3718874738312985,-1.1026492842755957,1.0519647178295728
2016-09-06,-1.2873395199469062,-1.2850220349400785,-1.3776543986097627,-1.1172197821276952,1.0693367712146729
